num,ROI_Name,X_position,Y_position,type,PathwayNameFull,Pathway_Value,PathwayName
1,Germinal center_ROI027,21345,12134,Germinal center,T cell receptor signaling pathway,-0.393365005,TCR 
2,Germinal center_ROI026,27284,24303,Germinal center,T cell receptor signaling pathway,-0.65882455,TCR 
3,Germinal center_ROI025,22106,13564,Germinal center,T cell receptor signaling pathway,-0.721098341,TCR 
4,Germinal center_ROI022,7333,20899,Germinal center,T cell receptor signaling pathway,0.232594312,TCR 
5,Germinal center_ROI024,20423,22880,Germinal center,T cell receptor signaling pathway,-0.366833295,TCR 
6,Germinal center_ROI013,21798,36418,Germinal center,T cell receptor signaling pathway,-0.538874214,TCR 
7,Germinal center_ROI023,12921,26841,Germinal center,T cell receptor signaling pathway,-0.960240401,TCR 
8,Germinal center_ROI019,9260,15437,Germinal center,T cell receptor signaling pathway,-1.071029924,TCR 
9,Germinal center_ROI007,9503,34845,Germinal center,T cell receptor signaling pathway,-0.849523407,TCR 
10,Germinal center_ROI010,9318,33128,Germinal center,T cell receptor signaling pathway,-0.122174825,TCR 
11,Germinal center_ROI016,25388,26749,Germinal center,T cell receptor signaling pathway,-0.977139539,TCR 
12,Germinal center_ROI020,6925,16105,Germinal center,T cell receptor signaling pathway,-0.523865186,TCR 
13,Germinal center_ROI021,11177,16145,Germinal center,T cell receptor signaling pathway,-0.687956588,TCR 
14,Germinal center_ROI001,23975,27060,Germinal center,T cell receptor signaling pathway,-0.542729447,TCR 
15,Germinal center_ROI004,25384,18364,Germinal center,T cell receptor signaling pathway,-0.508940121,TCR 
16,Paracortex zone_ROI018,26014,26134,Paracortex zone,T cell receptor signaling pathway,1.769564837,TCR 
17,Paracortex zone_ROI003,23615,27609,Paracortex zone,T cell receptor signaling pathway,1.737276083,TCR 
18,Paracortex zone_ROI009,10097,34409,Paracortex zone,T cell receptor signaling pathway,1.784634981,TCR 
19,Paracortex zone_ROI015,20756,36279,Paracortex zone,T cell receptor signaling pathway,1.583722543,TCR 
20,Paracortex zone_ROI006,25105,18785,Paracortex zone,T cell receptor signaling pathway,1.851090259,TCR 
21,Paracortex zone_ROI012,10169,32873,Paracortex zone,T cell receptor signaling pathway,1.785064693,TCR 
