bar,X_position,Y_position,type,order,percentage
one,21345,12134,Germinal center,1,0.037037
one,27284,24303,Germinal center,2,0.037037
one,22106,13564,Germinal center,3,0.037037
one,7333,20899,Germinal center,4,0.037037
one,20423,22880,Germinal center,5,0.037037
one,21798,36418,Germinal center,6,0.037037
one,12921,26841,Germinal center,7,0.037037
one,9260,15437,Germinal center,8,0.037037
one,9503,34845,Germinal center,9,0.037037
one,9318,33128,Germinal center,A,0.037037
one,25388,26749,Germinal center,B,0.037037
one,6925,16105,Germinal center,C,0.037037
one,11177,16145,Germinal center,D,0.037037
one,23975,27060,Germinal center,E,0.037037
one,25384,18364,Germinal center,F,0.037037
one,26014,26134,Paracortex zone,G,0.037037
one,23615,27609,Paracortex zone,H,0.037037
one,10097,34409,Paracortex zone,I,0.037037
one,20756,36279,Paracortex zone,J,0.037037
one,25105,18785,Paracortex zone,K,0.037037
one,10169,32873,Paracortex zone,L,0.037037
one,9380,34978,Mantle zone,M,0.037037
one,22224,36621,Mantle zone,N,0.037037
one,24303,27332,Mantle zone,O,0.037037
one,25645,18105,Mantle zone,P,0.037037
one,8967,33528,Mantle zone,Q,0.037037
one,25314,27219,Mantle zone,R,0.037037
