clust_id,X_position,Y_position,type,CD3E,x_axis
1,23975,27060,Germinal center,67.10599853,0.7
1,25384,18364,Germinal center,59.12538283,0.547895385
1,9503,34845,Germinal center,45.94870736,0.277677977
1,9318,33128,Germinal center,63.12789755,0.728678848
1,21798,36418,Germinal center,89.62416289,0.430419978
1,25388,26749,Germinal center,52.07520168,0.443381159
1,9260,15437,Germinal center,80.34459688,0.529270584
1,6925,16105,Germinal center,52.38152639,0.664213232
1,11177,16145,Germinal center,70.30152227,0.35
1,7333,20899,Germinal center,63.91047479,0.333677303
1,12921,26841,Germinal center,122.5770132,0.5
1,20423,22880,Germinal center,83.69228841,0.642612238
1,22106,13564,Germinal center,63.91047479,0.59443572
1,27284,24303,Germinal center,63.60613919,0.45
1,21345,12134,Germinal center,58.58460189,0.4
2,3849,25684,Germinal center - CD11c+,46.86768151,1.55
2,21741,29893,Germinal center - CD11c+,35.83999174,1.5
2,18493,9579,Germinal center - CD11c+,66.1661386,1.5
2,14101,37273,Germinal center - CD11c+,52.07520168,1.478851423
2,21888,32371,Germinal center - CD11c+,52.7261417,1.638861195
2,16887,39225,Germinal center - CD11c+,46.86768151,1.4
3,3849,25684,Germinal center - CD20+,23.86780077,2.407358243
3,21741,29893,Germinal center - CD20+,22.63947327,2.7
3,18493,9579,Germinal center - CD20+,28.90173693,2.5
3,14101,37273,Germinal center - CD20+,27.88330419,2.4
3,21888,32371,Germinal center - CD20+,29.74295173,2.624365517
3,16887,39225,Germinal center - CD20+,24.24190423,2.3
4,3849,25684,Germinal center - CD3+,153.7259954,3.664168187
4,21741,29893,Germinal center - CD3+,152.8293962,3.5
4,18493,9579,Germinal center - CD3+,126.5427401,3.565518808
4,14101,37273,Germinal center - CD3+,181.6122659,3.447766505
4,21888,32371,Germinal center - CD3+,140.6030445,3.340961649
4,16887,39225,Germinal center - CD3+,187.470726,3.268060838
5,24303,27332,Mantle zone,54.26784175,4.531743795
5,25645,18105,Mantle zone,49.25078396,4.382450205
5,9380,34978,Mantle zone,59.48590346,4.3
5,8967,33528,Mantle zone,61.98628845,4.683282063
5,22224,36621,Mantle zone,71.97536803,4.717524953
5,25314,27219,Mantle zone,68.49891913,4.483754341
6,23615,27609,Paracortex zone,344.3339866,5.394617728
6,25105,18785,Paracortex zone,355.3549583,5.461721886
6,10097,34409,Paracortex zone,403.2389202,5.253317397
6,10169,32873,Paracortex zone,370.8660015,5.274919952
6,20756,36279,Paracortex zone,370.3465814,5.697766289
6,26014,26134,Paracortex zone,399.3126465,5.439595894
