clust_id,X_position,Y_position,type,ITGAX,x_axis
1,23975,27060,Germinal center,69.23634769,0.542127594
1,25384,18364,Germinal center,64.17267161,0.547895385
1,9503,34845,Germinal center,57.89537128,0.277677977
1,9318,33128,Germinal center,83.21404676,0.5
1,21798,36418,Germinal center,78.11280252,0.730419978
1,25388,26749,Germinal center,72.03736232,0.443381159
1,9260,15437,Germinal center,75.88100816,0.529270584
1,6925,16105,Germinal center,60.65229372,0.4
1,11177,16145,Germinal center,68.73926622,0.7
1,7333,20899,Germinal center,73.49704601,0.333677303
1,12921,26841,Germinal center,57.68330032,0.53
1,20423,22880,Germinal center,66.95383073,0.415
1,22106,13564,Germinal center,59.64977647,0.65
1,27284,24303,Germinal center,46.86768151,0.538314329
1,21345,12134,Germinal center,49.79691161,0.648346473
2,3849,25684,CD11c+,191.3763662,1.539128493
2,21741,29893,CD11c+,143.359967,1.689038634
2,18493,9579,CD11c+,242.6091749,1.655301298
2,14101,37273,CD11c+,151.0180849,1.478851423
2,21888,32371,CD11c+,164.0368853,1.638861195
2,16887,39225,CD11c+,140.6030445,1.444114908
3,3849,25684,CD20+,54.24500175,2.407358243
3,21741,29893,CD20+,51.23670267,2.55
3,18493,9579,CD20+,49.21106559,2.390774053
3,14101,37273,CD20+,39.74854002,2.299516033
3,21888,32371,CD20+,47.76898308,2.624365517
3,16887,39225,CD20+,39.59511024,2.552554258
4,3849,25684,CD3+,54.36651055,3.664168187
4,21741,29893,CD3+,67.24493434,3.637771458
4,18493,9579,CD3+,46.86768151,3.565518808
4,14101,37273,CD3+,49.79691161,3.447766505
4,21888,32371,CD3+,30.12922383,3.340961649
4,16887,39225,CD3+,34.08558655,3.52
5,24303,27332,Mantle zone,72.76824235,4.531743795
5,25645,18105,Mantle zone,80.23111581,4.382450205
5,9380,34978,Mantle zone,81.11714108,4.531661865
5,8967,33528,Mantle zone,116.4132734,4.683282063
5,22224,36621,Mantle zone,80.34459688,4.717524953
5,25314,27219,Mantle zone,113.5639975,4.483754341
6,23615,27609,Paracortex zone,72.69273051,5.394617728
6,25105,18785,Paracortex zone,81.84356324,5.461721886
6,10097,34409,Paracortex zone,70.0362335,5.253317397
6,10169,32873,Paracortex zone,93.73536302,5.5
6,20756,36279,Paracortex zone,75.35588008,5.697766289
6,26014,26134,Paracortex zone,76.39432086,5.53
