ROI,X_position,Y_position,gene,gene_value,type,SegmentLabel,full_gene_name
A | 6B | 002 | Full ROI,24303,27332,Macrophages,0.0126706752837499,Mantle zone,Geometric,Macrophages
A | 6B | 002 | Full ROI,24303,27332,Mast cells,0.000436974813008451,Mantle zone,Geometric,Mast cells
A | 6B | 002 | Full ROI,24303,27332,Naïve B cells,0.528106780465482,Mantle zone,Geometric,Naïve B cells
A | 6B | 002 | Full ROI,24303,27332,Memory B cells,0.28882201470893,Mantle zone,Geometric,Memory B cells
A | 6B | 002 | Full ROI,24303,27332,Plasma cells,0.0104846623942289,Mantle zone,Geometric,Plasma cells
A | 6B | 002 | Full ROI,24303,27332,Naïve CD4 T cells,0.0581149814967534,Mantle zone,Geometric,Naïve CD4 T cells
A | 6B | 002 | Full ROI,24303,27332,Memory CD4 T cells,0.0280303254608104,Mantle zone,Geometric,Memory CD4 T cells
A | 6B | 002 | Full ROI,24303,27332,Naïve CD8 T cells,0.00519844461051922,Mantle zone,Geometric,Naïve CD8 T cells
A | 6B | 002 | Full ROI,24303,27332,Memory CD8 T cells,0.013673731794522,Mantle zone,Geometric,Memory CD8 T cells
A | 6B | 002 | Full ROI,24303,27332,Natural killer cells,0.00356097526158927,Mantle zone,Geometric,Natural killer cells
A | 6B | 002 | Full ROI,24303,27332,Plasmacytoid dendritic cells,0.00388557135343245,Mantle zone,Geometric,Plasmacytoid dendritic cells
A | 6B | 002 | Full ROI,24303,27332,Myeloid dendritic cells,0.000623938250492146,Mantle zone,Geometric,Myeloid dendritic cells
A | 6B | 002 | Full ROI,24303,27332,Classical monocytes,0,Mantle zone,Geometric,Classical monocytes
A | 6B | 002 | Full ROI,24303,27332,"Non-classical, intermediate monocytes",0,Mantle zone,Geometric,"Non-classical, intermediate monocytes"
A | 6B | 002 | Full ROI,24303,27332,Neutrophils,0.00443706660971963,Mantle zone,Geometric,Neutrophils
A | 6B | 002 | Full ROI,24303,27332,Regulatory T cells,0.0257058441874643,Mantle zone,Geometric,Regulatory T cells
A | 6B | 002 | Full ROI,24303,27332,Endothelial cells,0.00934488474956218,Mantle zone,Geometric,Endothelial cells
A | 6B | 002 | Full ROI,24303,27332,Fibroblasts,0.00690312855973522,Mantle zone,Geometric,Fibroblasts
B | 6B | 005 | Full ROI,25645,18105,Macrophages,0.0106233710745609,Mantle zone,Geometric,Macrophages
B | 6B | 005 | Full ROI,25645,18105,Mast cells,0.000280754646629957,Mantle zone,Geometric,Mast cells
B | 6B | 005 | Full ROI,25645,18105,Naïve B cells,0.454844930566186,Mantle zone,Geometric,Naïve B cells
B | 6B | 005 | Full ROI,25645,18105,Memory B cells,0.403224528226449,Mantle zone,Geometric,Memory B cells
B | 6B | 005 | Full ROI,25645,18105,Plasma cells,0.00918301354808002,Mantle zone,Geometric,Plasma cells
B | 6B | 005 | Full ROI,25645,18105,Naïve CD4 T cells,0.0477843225985611,Mantle zone,Geometric,Naïve CD4 T cells
B | 6B | 005 | Full ROI,25645,18105,Memory CD4 T cells,0.0136052309498194,Mantle zone,Geometric,Memory CD4 T cells
B | 6B | 005 | Full ROI,25645,18105,Naïve CD8 T cells,0,Mantle zone,Geometric,Naïve CD8 T cells
B | 6B | 005 | Full ROI,25645,18105,Memory CD8 T cells,0.0156693024585551,Mantle zone,Geometric,Memory CD8 T cells
B | 6B | 005 | Full ROI,25645,18105,Natural killer cells,0.000778032557969816,Mantle zone,Geometric,Natural killer cells
B | 6B | 005 | Full ROI,25645,18105,Plasmacytoid dendritic cells,0.00213387395033255,Mantle zone,Geometric,Plasmacytoid dendritic cells
B | 6B | 005 | Full ROI,25645,18105,Myeloid dendritic cells,0,Mantle zone,Geometric,Myeloid dendritic cells
B | 6B | 005 | Full ROI,25645,18105,Classical monocytes,0,Mantle zone,Geometric,Classical monocytes
B | 6B | 005 | Full ROI,25645,18105,"Non-classical, intermediate monocytes",0,Mantle zone,Geometric,"Non-classical, intermediate monocytes"
B | 6B | 005 | Full ROI,25645,18105,Neutrophils,0.00192396358904416,Mantle zone,Geometric,Neutrophils
B | 6B | 005 | Full ROI,25645,18105,Regulatory T cells,0.0187093817451377,Mantle zone,Geometric,Regulatory T cells
B | 6B | 005 | Full ROI,25645,18105,Endothelial cells,0.009831857793376,Mantle zone,Geometric,Endothelial cells
B | 6B | 005 | Full ROI,25645,18105,Fibroblasts,0.011407436295298,Mantle zone,Geometric,Fibroblasts
C | 6B | 008 | Full ROI,9380,34978,Macrophages,0.0257791957758412,Mantle zone,Geometric,Macrophages
C | 6B | 008 | Full ROI,9380,34978,Mast cells,7.53756859109831e-05,Mantle zone,Geometric,Mast cells
